Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1990 [1990]
Afghanistan,AFG,Total,TOT,Denmark,DNK,384
Afghanistan,AFG,Total,TOT,Djibouti,DJI,0
Afghanistan,AFG,Total,TOT,Dominica,DMA,0
Afghanistan,AFG,Total,TOT,Dominican Republic,DOM,5
Afghanistan,AFG,Total,TOT,Ecuador,ECU,0
Afghanistan,AFG,Total,TOT,"Egypt, Arab Rep.",EGY,177
Afghanistan,AFG,Total,TOT,El Salvador,SLV,0
Afghanistan,AFG,Total,TOT,Equatorial Guinea,GNQ,0
Afghanistan,AFG,Total,TOT,Eritrea,ERI,0
Afghanistan,AFG,Total,TOT,Estonia,EST,0
Afghanistan,AFG,Total,TOT,Ethiopia,ETH,0
Afghanistan,AFG,Total,TOT,Faeroe Islands,FRO,14
Afghanistan,AFG,Total,TOT,Falkland Islands (Malvinas),FLK,0
Afghanistan,AFG,Total,TOT,Fiji,FJI,8
Afghanistan,AFG,Total,TOT,Finland,FIN,4
Afghanistan,AFG,Total,TOT,France,FRA,51
Afghanistan,AFG,Total,TOT,French Guiana,GUF,0
Afghanistan,AFG,Total,TOT,French Polynesia,PYF,1
Afghanistan,AFG,Total,TOT,Gabon,GAB,0
Afghanistan,AFG,Total,TOT,"Gambia, The",GMB,0
Afghanistan,AFG,Total,TOT,Georgia,GEO,0
Afghanistan,AFG,Total,TOT,Germany,DEU,15875
Afghanistan,AFG,Total,TOT,Ghana,GHA,6
Afghanistan,AFG,Total,TOT,Gibraltar,GIB,0
Afghanistan,AFG,Total,TOT,Greece,GRC,226
Afghanistan,AFG,Total,TOT,Greenland,GRL,0
Afghanistan,AFG,Total,TOT,Grenada,GRD,0
Afghanistan,AFG,Total,TOT,Guadeloupe,GLP,0
Afghanistan,AFG,Total,TOT,Guam,GUM,6
Afghanistan,AFG,Total,TOT,Guatemala,GTM,0
Afghanistan,AFG,Total,TOT,Guinea,GIN,0
Afghanistan,AFG,Total,TOT,Guinea-Bissau,GNB,0
Afghanistan,AFG,Total,TOT,Guyana,GUY,0
Afghanistan,AFG,Total,TOT,Haiti,HTI,0
Afghanistan,AFG,Total,TOT,Honduras,HND,1
Afghanistan,AFG,Total,TOT,"Hong Kong SAR, China",HKG,32
Afghanistan,AFG,Total,TOT,Hungary,HUN,86
Afghanistan,AFG,Total,TOT,Iceland,ISL,2
Afghanistan,AFG,Total,TOT,India,IND,13755
Afghanistan,AFG,Total,TOT,Indonesia,IDN,19
Afghanistan,AFG,Total,TOT,"Iran, Islamic Rep.",IRN,680274
Afghanistan,AFG,Total,TOT,Iraq,IRQ,69
Afghanistan,AFG,Total,TOT,Ireland,IRL,15
Afghanistan,AFG,Total,TOT,Isle of Man,IMY,..
Afghanistan,AFG,Total,TOT,Israel,ISR,190
Afghanistan,AFG,Total,TOT,Italy,ITA,1522
Afghanistan,AFG,Total,TOT,Jamaica,JAM,0
Afghanistan,AFG,Total,TOT,Japan,JPN,126
Afghanistan,AFG,Total,TOT,Jordan,JOR,64
Afghanistan,AFG,Total,TOT,Kazakhstan,KAZ,0
Afghanistan,AFG,Total,TOT,Kenya,KEN,38
Afghanistan,AFG,Total,TOT,Kiribati,KIR,0
Afghanistan,AFG,Total,TOT,"Korea, Dem. Rep.",PRK,1
Afghanistan,AFG,Total,TOT,"Korea, Rep.",KOR,2
Afghanistan,AFG,Total,TOT,Kosovo,KSV,..
Afghanistan,AFG,Total,TOT,Kuwait,KWT,93561
Afghanistan,AFG,Total,TOT,Kyrgyz Republic,KGZ,0
Afghanistan,AFG,Total,TOT,Lao PDR,LAO,0
Afghanistan,AFG,Total,TOT,Latvia,LVA,0
Afghanistan,AFG,Total,TOT,Lebanon,LBN,45698
Afghanistan,AFG,Total,TOT,Lesotho,LSO,0
Afghanistan,AFG,Total,TOT,Liberia,LBR,0
Afghanistan,AFG,Total,TOT,Libya,LBY,844
Afghanistan,AFG,Total,TOT,Liechtenstein,LIE,0
Afghanistan,AFG,Total,TOT,Lithuania,LTU,0
Afghanistan,AFG,Total,TOT,Luxembourg,LUX,25
Afghanistan,AFG,Total,TOT,"Macao SAR, China",MAC,4
Afghanistan,AFG,Total,TOT,"Macedonia, FYR",MKD,25
Afghanistan,AFG,Total,TOT,Madagascar,MDG,3
Afghanistan,AFG,Total,TOT,Malawi,MWI,0
Afghanistan,AFG,Total,TOT,Malaysia,MYS,65
Afghanistan,AFG,Total,TOT,Maldives,MDV,5
Afghanistan,AFG,Total,TOT,Mali,MLI,0
Afghanistan,AFG,Total,TOT,Malta,MLT,2
Afghanistan,AFG,Total,TOT,Marshall Islands,MHL,2
Afghanistan,AFG,Total,TOT,Martinique,MTQ,0
Afghanistan,AFG,Total,TOT,Mauritania,MRT,1
Afghanistan,AFG,Total,TOT,Mauritius,MUS,0
Afghanistan,AFG,Total,TOT,Mayotte,MYT,0
Afghanistan,AFG,Total,TOT,Mexico,MEX,0
Afghanistan,AFG,Total,TOT,"Micronesia, Fed. Sts.",FSM,0
Afghanistan,AFG,Total,TOT,Moldova,MDA,0
Afghanistan,AFG,Total,TOT,Monaco,MCO,7
Afghanistan,AFG,Total,TOT,Mongolia,MNG,0
Afghanistan,AFG,Total,TOT,Montenegro,MNE,..
Afghanistan,AFG,Total,TOT,Montserrat,MSR,0
Afghanistan,AFG,Total,TOT,Morocco,MAR,10
Afghanistan,AFG,Total,TOT,Mozambique,MOZ,0
Afghanistan,AFG,Total,TOT,Myanmar,MMR,6
Afghanistan,AFG,Total,TOT,Namibia,NAM,0
Afghanistan,AFG,Total,TOT,Naura,NRU,3
Afghanistan,AFG,Total,TOT,Nepal,NPL,1
Afghanistan,AFG,Total,TOT,Netherlands,NLD,0
Afghanistan,AFG,Total,TOT,Netherlands Antilles,ANT,0
Afghanistan,AFG,Total,TOT,New Caledonia,NCL,2
Afghanistan,AFG,Total,TOT,New Zealand,NZL,270
Afghanistan,AFG,Total,TOT,Nicaragua,NIC,21
Afghanistan,AFG,Total,TOT,Niger,NER,0
Afghanistan,AFG,Total,TOT,Nigeria,NGA,0
Afghanistan,AFG,Total,TOT,Niue,NIU,0
Afghanistan,AFG,Total,TOT,Norfolk Island,NFK,0
Afghanistan,AFG,Total,TOT,Northern Mariana Islands,MNP,7
Afghanistan,AFG,Total,TOT,Norway,NOR,256
Afghanistan,AFG,Total,TOT,Oman,OMN,780
Afghanistan,AFG,Total,TOT,Pakistan,PAK,18015
Afghanistan,AFG,Total,TOT,Palau,PLW,2
Afghanistan,AFG,Total,TOT,Panama,PAN,30
Afghanistan,AFG,Total,TOT,Papua New Guinea,PNG,15
Afghanistan,AFG,Total,TOT,Paraguay,PRY,0
Afghanistan,AFG,Total,TOT,Peru,PER,9
Afghanistan,AFG,Total,TOT,Philippines,PHL,35
Afghanistan,AFG,Total,TOT,Poland,POL,97
Afghanistan,AFG,Total,TOT,Portugal,PRT,0
Afghanistan,AFG,Total,TOT,Puerto Rico,PRI,0
Afghanistan,AFG,Total,TOT,Qatar,QAT,76302
Afghanistan,AFG,Total,TOT,Reunion,REU,0
Afghanistan,AFG,Total,TOT,Romania,ROM,0
Afghanistan,AFG,Total,TOT,Russian Federation,RUS,0
Afghanistan,AFG,Total,TOT,Rwanda,RWA,0
Afghanistan,AFG,Total,TOT,Saint Helena,SHN,0
Afghanistan,AFG,Total,TOT,Saint Pierre and Miquelon,SPM,0
Afghanistan,AFG,Total,TOT,Samoa,WSM,0
Afghanistan,AFG,Total,TOT,San Marino,SMR,0
Afghanistan,AFG,Total,TOT,Sao Tome and Principe,STP,0
Afghanistan,AFG,Total,TOT,Saudi Arabia,SAU,11782
Afghanistan,AFG,Total,TOT,Senegal,SEN,0
Afghanistan,AFG,Total,TOT,Serbia,SRB,..
Afghanistan,AFG,Total,TOT,Serbia and Montenegro,SCG,1
Afghanistan,AFG,Total,TOT,Seychelles,SYC,0
Afghanistan,AFG,Total,TOT,Sierra Leone,SLE,1
Afghanistan,AFG,Total,TOT,Singapore,SGP,24
Afghanistan,AFG,Total,TOT,Slovak Republic,SVK,3
Afghanistan,AFG,Total,TOT,Slovenia,SVN,0
Afghanistan,AFG,Total,TOT,Solomon Islands,SLB,3
Afghanistan,AFG,Total,TOT,Somalia,SOM,0
Afghanistan,AFG,Total,TOT,South Africa,ZAF,0
Afghanistan,AFG,Total,TOT,Spain,ESP,148
Afghanistan,AFG,Total,TOT,Sri Lanka,LKA,96
Afghanistan,AFG,Total,TOT,St. Kitts and Nevis,KNA,0
Afghanistan,AFG,Total,TOT,St. Lucia,LCA,0
Afghanistan,AFG,Total,TOT,St. Vincent and the Grenadines,VCT,0
Afghanistan,AFG,Total,TOT,Sudan,SDN,8
Afghanistan,AFG,Total,TOT,Suriname,SUR,0
Afghanistan,AFG,Total,TOT,Swaziland,SWZ,0
Afghanistan,AFG,Total,TOT,Sweden,SWE,353
Afghanistan,AFG,Total,TOT,Switzerland,CHE,519
Afghanistan,AFG,Total,TOT,Syrian Arab Republic,SYR,6975
Afghanistan,AFG,Total,TOT,"Taiwan, China",TWN,0
Afghanistan,AFG,Total,TOT,Tajikistan,TJK,2088
Afghanistan,AFG,Total,TOT,Tanzania,TZA,7
Afghanistan,AFG,Total,TOT,Thailand,THA,175
Afghanistan,AFG,Total,TOT,Timor-Leste,TLS,0
Afghanistan,AFG,Total,TOT,Togo,TGO,0
Afghanistan,AFG,Total,TOT,Tokelau,TKL,0
Afghanistan,AFG,Total,TOT,Tonga,TON,4
Afghanistan,AFG,Total,TOT,Trinidad and Tobago,TTO,0
Afghanistan,AFG,Total,TOT,Tunisia,TUN,119
Afghanistan,AFG,Total,TOT,Turkey,TUR,7136
Afghanistan,AFG,Total,TOT,Turkmenistan,TKM,0
Afghanistan,AFG,Total,TOT,Turks and Caicos Islands,TCA,0
Afghanistan,AFG,Total,TOT,Tuvalu,TUV,0
Afghanistan,AFG,Total,TOT,Uganda,UGA,1
Afghanistan,AFG,Total,TOT,Ukraine,UKR,0
Afghanistan,AFG,Total,TOT,United Arab Emirates,ARE,15383
Afghanistan,AFG,Total,TOT,United Kingdom,GBR,14
Afghanistan,AFG,Total,TOT,United States,USA,30146
Afghanistan,AFG,Total,TOT,Uruguay,URY,0
Afghanistan,AFG,Total,TOT,Uzbekistan,UZB,0
Afghanistan,AFG,Total,TOT,Vanuatu,VUT,1
Afghanistan,AFG,Total,TOT,"Venezuela, RB",VEN,11
Afghanistan,AFG,Total,TOT,Vietnam,VNM,0
Afghanistan,AFG,Total,TOT,Virgin Islands (U.S.),VIR,0
Afghanistan,AFG,Total,TOT,"Virgin Islands, British",VGB,0
Afghanistan,AFG,Total,TOT,Wallis and Futuna,WLF,0
Afghanistan,AFG,Total,TOT,West Bank and Gaza,PSE,72
Afghanistan,AFG,Total,TOT,"Yemen, Rep.",YEM,2434
Afghanistan,AFG,Total,TOT,Zambia,ZMB,0
Afghanistan,AFG,Total,TOT,Zimbabwe,ZWE,1
Albania,ALB,Total,TOT,Afghanistan,AFG,3
Albania,ALB,Total,TOT,Albania,ALB,0
Albania,ALB,Total,TOT,Algeria,DZA,4
Albania,ALB,Total,TOT,American Samoa,ASM,0
Albania,ALB,Total,TOT,Andorra,AND,117
Albania,ALB,Total,TOT,Angola,AGO,0
Albania,ALB,Total,TOT,Anguilla,AIA,0
Albania,ALB,Total,TOT,Antigua and Barbuda,ATG,0
Albania,ALB,Total,TOT,Argentina,ARG,147
Albania,ALB,Total,TOT,Armenia,ARM,0
Albania,ALB,Total,TOT,Aruba,ABW,0
Albania,ALB,Total,TOT,Australia,AUS,951
Albania,ALB,Total,TOT,Austria,AUT,1351
Albania,ALB,Total,TOT,Azerbaijan,AZE,0
Albania,ALB,Total,TOT,"Bahamas, The",BHS,0
Albania,ALB,Total,TOT,Bahrain,BHR,2
Albania,ALB,Total,TOT,Bangladesh,BGD,2
Albania,ALB,Total,TOT,Barbados,BRB,0
Albania,ALB,Total,TOT,Belarus,BLR,0
Albania,ALB,Total,TOT,Belgium,BEL,591
Albania,ALB,Total,TOT,Belize,BLZ,0
Albania,ALB,Total,TOT,Benin,BEN,7
Albania,ALB,Total,TOT,Bermuda,BMU,2
Albania,ALB,Total,TOT,Bhutan,BTN,0
Albania,ALB,Total,TOT,Bolivia,BOL,4
Albania,ALB,Total,TOT,Bosnia and Herzegovina,BIH,956
Albania,ALB,Total,TOT,Botswana,BWA,0
Albania,ALB,Total,TOT,Brazil,BRA,7
Albania,ALB,Total,TOT,Brunei Darussalam,BRN,0
Albania,ALB,Total,TOT,Bulgaria,BGR,91
Albania,ALB,Total,TOT,Burkina Faso,BFA,0
Albania,ALB,Total,TOT,Burundi,BDI,0
Albania,ALB,Total,TOT,Cambodia,KHM,0
Albania,ALB,Total,TOT,Cameroon,CMR,10
Albania,ALB,Total,TOT,Canada,CAN,456
Albania,ALB,Total,TOT,Cape Verde,CPV,12
Albania,ALB,Total,TOT,Cayman Islands,CYM,0
Albania,ALB,Total,TOT,Central African Republic,CAF,19
Albania,ALB,Total,TOT,Chad,TCD,0
Albania,ALB,Total,TOT,Channel Islands,CHI,..
Albania,ALB,Total,TOT,Chile,CHL,22
Albania,ALB,Total,TOT,China,CHN,1
Albania,ALB,Total,TOT,Colombia,COL,1
Albania,ALB,Total,TOT,Comoros,COM,0
Albania,ALB,Total,TOT,"Congo, Dem. Rep.",COD,294
Albania,ALB,Total,TOT,"Congo, Rep.",COG,31
Albania,ALB,Total,TOT,Cook Islands,COK,0
Albania,ALB,Total,TOT,Costa Rica,CRI,1
Albania,ALB,Total,TOT,Cote d'Ivoire,CIV,22
Albania,ALB,Total,TOT,Croatia,HRV,25
Albania,ALB,Total,TOT,Cuba,CUB,42
Albania,ALB,Total,TOT,Cyprus,CYP,3
Albania,ALB,Total,TOT,Czech Republic,CZE,96
Albania,ALB,Total,TOT,Denmark,DNK,6
Albania,ALB,Total,TOT,Djibouti,DJI,0
Albania,ALB,Total,TOT,Dominica,DMA,0
Albania,ALB,Total,TOT,Dominican Republic,DOM,19
Albania,ALB,Total,TOT,Ecuador,ECU,0
Albania,ALB,Total,TOT,"Egypt, Arab Rep.",EGY,0
Albania,ALB,Total,TOT,El Salvador,SLV,0
Albania,ALB,Total,TOT,Equatorial Guinea,GNQ,0
Albania,ALB,Total,TOT,Eritrea,ERI,0
Albania,ALB,Total,TOT,Estonia,EST,0
Albania,ALB,Total,TOT,Ethiopia,ETH,13
Albania,ALB,Total,TOT,Faeroe Islands,FRO,0
Albania,ALB,Total,TOT,Falkland Islands (Malvinas),FLK,0
Albania,ALB,Total,TOT,Fiji,FJI,0
Albania,ALB,Total,TOT,Finland,FIN,8
Albania,ALB,Total,TOT,France,FRA,33
Albania,ALB,Total,TOT,French Guiana,GUF,0
Albania,ALB,Total,TOT,French Polynesia,PYF,0
Albania,ALB,Total,TOT,Gabon,GAB,14
Albania,ALB,Total,TOT,"Gambia, The",GMB,6
Albania,ALB,Total,TOT,Georgia,GEO,0
Albania,ALB,Total,TOT,Germany,DEU,1758
Albania,ALB,Total,TOT,Ghana,GHA,14
Albania,ALB,Total,TOT,Gibraltar,GIB,0
Albania,ALB,Total,TOT,Greece,GRC,50727
Albania,ALB,Total,TOT,Greenland,GRL,0
Albania,ALB,Total,TOT,Grenada,GRD,0
Albania,ALB,Total,TOT,Guadeloupe,GLP,4
Albania,ALB,Total,TOT,Guam,GUM,0
Albania,ALB,Total,TOT,Guatemala,GTM,4
Albania,ALB,Total,TOT,Guinea,GIN,10
Albania,ALB,Total,TOT,Guinea-Bissau,GNB,0
Albania,ALB,Total,TOT,Guyana,GUY,0
Albania,ALB,Total,TOT,Haiti,HTI,0
Albania,ALB,Total,TOT,Honduras,HND,2
Albania,ALB,Total,TOT,"Hong Kong SAR, China",HKG,14
Albania,ALB,Total,TOT,Hungary,HUN,386
Albania,ALB,Total,TOT,Iceland,ISL,13
Albania,ALB,Total,TOT,India,IND,369
Albania,ALB,Total,TOT,Indonesia,IDN,36
Albania,ALB,Total,TOT,"Iran, Islamic Rep.",IRN,5
Albania,ALB,Total,TOT,Iraq,IRQ,2
Albania,ALB,Total,TOT,Ireland,IRL,15
Albania,ALB,Total,TOT,Isle of Man,IMY,..
Albania,ALB,Total,TOT,Israel,ISR,202
Albania,ALB,Total,TOT,Italy,ITA,42821
Albania,ALB,Total,TOT,Jamaica,JAM,0
Albania,ALB,Total,TOT,Japan,JPN,5
Albania,ALB,Total,TOT,Jordan,JOR,372
Albania,ALB,Total,TOT,Kazakhstan,KAZ,0
Albania,ALB,Total,TOT,Kenya,KEN,2
Albania,ALB,Total,TOT,Kiribati,KIR,0
Albania,ALB,Total,TOT,"Korea, Dem. Rep.",PRK,0
Albania,ALB,Total,TOT,"Korea, Rep.",KOR,2
Albania,ALB,Total,TOT,Kosovo,KSV,..
Albania,ALB,Total,TOT,Kuwait,KWT,15
Albania,ALB,Total,TOT,Kyrgyz Republic,KGZ,0
Albania,ALB,Total,TOT,Lao PDR,LAO,2
Albania,ALB,Total,TOT,Latvia,LVA,0
Albania,ALB,Total,TOT,Lebanon,LBN,38
Albania,ALB,Total,TOT,Lesotho,LSO,0
Albania,ALB,Total,TOT,Liberia,LBR,0
Albania,ALB,Total,TOT,Libya,LBY,1
Albania,ALB,Total,TOT,Liechtenstein,LIE,2
Albania,ALB,Total,TOT,Lithuania,LTU,0
Albania,ALB,Total,TOT,Luxembourg,LUX,271
Albania,ALB,Total,TOT,"Macao SAR, China",MAC,0
Albania,ALB,Total,TOT,"Macedonia, FYR",MKD,1847
Albania,ALB,Total,TOT,Madagascar,MDG,15
Albania,ALB,Total,TOT,Malawi,MWI,0
Albania,ALB,Total,TOT,Malaysia,MYS,10
Albania,ALB,Total,TOT,Maldives,MDV,0
Albania,ALB,Total,TOT,Mali,MLI,0
Albania,ALB,Total,TOT,Malta,MLT,0
Albania,ALB,Total,TOT,Marshall Islands,MHL,0
Albania,ALB,Total,TOT,Martinique,MTQ,1
Albania,ALB,Total,TOT,Mauritania,MRT,0
Albania,ALB,Total,TOT,Mauritius,MUS,0
Albania,ALB,Total,TOT,Mayotte,MYT,0
Albania,ALB,Total,TOT,Mexico,MEX,44
Albania,ALB,Total,TOT,"Micronesia, Fed. Sts.",FSM,0
Albania,ALB,Total,TOT,Moldova,MDA,0
Albania,ALB,Total,TOT,Monaco,MCO,79
Albania,ALB,Total,TOT,Mongolia,MNG,0
Albania,ALB,Total,TOT,Montenegro,MNE,..
Albania,ALB,Total,TOT,Montserrat,MSR,0
Albania,ALB,Total,TOT,Morocco,MAR,0
Albania,ALB,Total,TOT,Mozambique,MOZ,1
Albania,ALB,Total,TOT,Myanmar,MMR,12
Albania,ALB,Total,TOT,Namibia,NAM,2
Albania,ALB,Total,TOT,Naura,NRU,0
Albania,ALB,Total,TOT,Nepal,NPL,3
Albania,ALB,Total,TOT,Netherlands,NLD,0
Albania,ALB,Total,TOT,Netherlands Antilles,ANT,0
Albania,ALB,Total,TOT,New Caledonia,NCL,0
Albania,ALB,Total,TOT,New Zealand,NZL,23
Albania,ALB,Total,TOT,Nicaragua,NIC,25
Albania,ALB,Total,TOT,Niger,NER,26
Albania,ALB,Total,TOT,Nigeria,NGA,42
Albania,ALB,Total,TOT,Niue,NIU,0
Albania,ALB,Total,TOT,Norfolk Island,NFK,0
Albania,ALB,Total,TOT,Northern Mariana Islands,MNP,0
Albania,ALB,Total,TOT,Norway,NOR,21
Albania,ALB,Total,TOT,Oman,OMN,5
Albania,ALB,Total,TOT,Pakistan,PAK,9
Albania,ALB,Total,TOT,Palau,PLW,0
Albania,ALB,Total,TOT,Panama,PAN,10
Albania,ALB,Total,TOT,Papua New Guinea,PNG,0
Albania,ALB,Total,TOT,Paraguay,PRY,0
Albania,ALB,Total,TOT,Peru,PER,22
Albania,ALB,Total,TOT,Philippines,PHL,485
Albania,ALB,Total,TOT,Poland,POL,74
Albania,ALB,Total,TOT,Portugal,PRT,0
Albania,ALB,Total,TOT,Puerto Rico,PRI,0
Albania,ALB,Total,TOT,Qatar,QAT,64
Albania,ALB,Total,TOT,Reunion,REU,1
Albania,ALB,Total,TOT,Romania,ROM,676
Albania,ALB,Total,TOT,Russian Federation,RUS,0
Albania,ALB,Total,TOT,Rwanda,RWA,23
Albania,ALB,Total,TOT,Saint Helena,SHN,0
Albania,ALB,Total,TOT,Saint Pierre and Miquelon,SPM,0
Albania,ALB,Total,TOT,Samoa,WSM,0
Albania,ALB,Total,TOT,San Marino,SMR,0
Albania,ALB,Total,TOT,Sao Tome and Principe,STP,0
Albania,ALB,Total,TOT,Saudi Arabia,SAU,52
Albania,ALB,Total,TOT,Senegal,SEN,5
Albania,ALB,Total,TOT,Serbia,SRB,..
Albania,ALB,Total,TOT,Serbia and Montenegro,SCG,1104
Albania,ALB,Total,TOT,Seychelles,SYC,0
Albania,ALB,Total,TOT,Sierra Leone,SLE,2
Albania,ALB,Total,TOT,Singapore,SGP,5
Albania,ALB,Total,TOT,Slovak Republic,SVK,17
Albania,ALB,Total,TOT,Slovenia,SVN,15
Albania,ALB,Total,TOT,Solomon Islands,SLB,0
Albania,ALB,Total,TOT,Somalia,SOM,0
Albania,ALB,Total,TOT,South Africa,ZAF,173
Albania,ALB,Total,TOT,Spain,ESP,2
Albania,ALB,Total,TOT,Sri Lanka,LKA,0
Albania,ALB,Total,TOT,St. Kitts and Nevis,KNA,0
Albania,ALB,Total,TOT,St. Lucia,LCA,0
Albania,ALB,Total,TOT,St. Vincent and the Grenadines,VCT,0
Albania,ALB,Total,TOT,Sudan,SDN,5
Albania,ALB,Total,TOT,Suriname,SUR,0
Albania,ALB,Total,TOT,Swaziland,SWZ,0
Albania,ALB,Total,TOT,Sweden,SWE,16
Albania,ALB,Total,TOT,Switzerland,CHE,88828
Albania,ALB,Total,TOT,Syrian Arab Republic,SYR,19
Albania,ALB,Total,TOT,"Taiwan, China",TWN,0
Albania,ALB,Total,TOT,Tajikistan,TJK,0
Albania,ALB,Total,TOT,Tanzania,TZA,3
Albania,ALB,Total,TOT,Thailand,THA,353
Albania,ALB,Total,TOT,Timor-Leste,TLS,0
Albania,ALB,Total,TOT,Togo,TGO,42
Albania,ALB,Total,TOT,Tokelau,TKL,0
Albania,ALB,Total,TOT,Tonga,TON,0
Albania,ALB,Total,TOT,Trinidad and Tobago,TTO,1
Albania,ALB,Total,TOT,Tunisia,TUN,4
Albania,ALB,Total,TOT,Turkey,TUR,139
Albania,ALB,Total,TOT,Turkmenistan,TKM,0
Albania,ALB,Total,TOT,Turks and Caicos Islands,TCA,0
Albania,ALB,Total,TOT,Tuvalu,TUV,0
Albania,ALB,Total,TOT,Uganda,UGA,3
Albania,ALB,Total,TOT,Ukraine,UKR,3343
Albania,ALB,Total,TOT,United Arab Emirates,ARE,51
Albania,ALB,Total,TOT,United Kingdom,GBR,166
Albania,ALB,Total,TOT,United States,USA,5844
Albania,ALB,Total,TOT,Uruguay,URY,0
Albania,ALB,Total,TOT,Uzbekistan,UZB,0
Albania,ALB,Total,TOT,Vanuatu,VUT,0
Albania,ALB,Total,TOT,"Venezuela, RB",VEN,0
Albania,ALB,Total,TOT,Vietnam,VNM,2
Albania,ALB,Total,TOT,Virgin Islands (U.S.),VIR,0
Albania,ALB,Total,TOT,"Virgin Islands, British",VGB,0
Albania,ALB,Total,TOT,Wallis and Futuna,WLF,0
Albania,ALB,Total,TOT,West Bank and Gaza,PSE,31
Albania,ALB,Total,TOT,"Yemen, Rep.",YEM,20
Albania,ALB,Total,TOT,Zambia,ZMB,0
Albania,ALB,Total,TOT,Zimbabwe,ZWE,6
Algeria,DZA,Total,TOT,Afghanistan,AFG,33
Algeria,DZA,Total,TOT,Albania,ALB,0
Algeria,DZA,Total,TOT,Algeria,DZA,0
Algeria,DZA,Total,TOT,American Samoa,ASM,0
Algeria,DZA,Total,TOT,Andorra,AND,195
Algeria,DZA,Total,TOT,Angola,AGO,2
Algeria,DZA,Total,TOT,Anguilla,AIA,0
Algeria,DZA,Total,TOT,Antigua and Barbuda,ATG,9
Algeria,DZA,Total,TOT,Argentina,ARG,231
Algeria,DZA,Total,TOT,Armenia,ARM,0
Algeria,DZA,Total,TOT,Aruba,ABW,0
Algeria,DZA,Total,TOT,Australia,AUS,648
Algeria,DZA,Total,TOT,Austria,AUT,251
Algeria,DZA,Total,TOT,Azerbaijan,AZE,0
Algeria,DZA,Total,TOT,"Bahamas, The",BHS,2
